,eliminado,mae,model,paredao,pred,pred_pct,rejeicao,repeticao,mean_absolute_error,correct
1167,marcela,0.05612792397660816,ensamble1,12.0,flayslene,0.5560166666666666,0.4976,6.0,0.05841666666666662,False
1168,flayslene,0.0801362573099415,ensamble1,13.0,flayslene,0.5149333333333334,0.63,6.0,0.11506666666666665,True
1169,gizelly_bicalho,0.07695734126984123,ensamble1,14.0,babu,0.5132428571428571,0.5478999999999999,6.0,0.03465714285714283,False
1170,ivy,0.1762910052910053,ensamble1,15.0,ivy,0.3523666666666667,0.7417,6.0,0.3893333333333333,True
1171,mari,0.07582638888888886,ensamble1,16.0,manu_gavassi,0.49021249999999994,0.5416,6.0,0.05138750000000003,False
1172,babu,0.11506031746031747,ensamble1,17.0,babu,0.49373333333333336,0.5715,6.0,0.07776666666666665,True
1173,lucas_chumbo,0.1936212833333333,random_forest,1.0,lucas_chumbo,0.48157190000000005,0.7594,6.0,0.2778280999999999,True
1174,petrix,0.2174552812499998,random_forest,2.0,petrix,0.6412654999999994,0.8027,6.0,0.1614345000000006,True
1175,hadson,0.17716237916666655,random_forest,3.0,hadson,0.47264416666666703,0.7970999999999999,6.0,0.3244558333333329,True
1176,lucas,0.08672453769841282,random_forest,4.0,lucas,0.5237325833333331,0.6262,6.0,0.10246741666666692,True
1177,bianca_andrade,0.21732918055555553,random_forest,5.0,felipe_prior,0.5487239999999998,0.5309,6.0,0.01782399999999973,False
1178,guilherme,0.04612463055555536,random_forest,6.0,guilherme,0.5818039999999999,0.5607,6.0,0.0211039999999999,True
1179,victor_hugo,0.18808055515873004,random_forest,7.0,victor_hugo,0.32962550000000024,0.8522,6.0,0.5225744999999997,True
1180,pyong,0.05283965833333337,random_forest,8.0,babu,0.5098364583333335,0.517,6.0,0.007163541666666551,False
1181,daniel,0.18978825555555567,random_forest,9.0,daniel,0.6205679999999998,0.8081999999999999,6.0,0.18763200000000013,True
1182,felipe_prior,0.09342066944444449,random_forest,10.0,felipe_prior,0.4699199499999998,0.5672999999999999,6.0,0.0973800500000001,True
1183,gabi,0.08739646111111084,random_forest,11.0,gabi,0.47769800000000034,0.5961,6.0,0.11840199999999962,True
1184,marcela,0.06054844444444397,random_forest,12.0,flayslene,0.554607999999999,0.4976,6.0,0.057007999999999004,False
1185,flayslene,0.06274662222222215,random_forest,13.0,flayslene,0.5095969999999999,0.63,6.0,0.12040300000000015,True
1186,gizelly_bicalho,0.07911598333333325,random_forest,14.0,babu,0.511936,0.5478999999999999,6.0,0.035963999999999996,False
1187,ivy,0.14598723353174584,random_forest,15.0,ivy,0.4938870000000006,0.7417,6.0,0.24781299999999945,True
1188,mari,0.132425875,random_forest,16.0,manu_gavassi,0.4424587500000001,0.5416,6.0,0.09914124999999985,False
1189,babu,0.100058336904762,random_forest,17.0,babu,0.4847190249999996,0.5715,6.0,0.08678097500000043,True
1190,lucas_chumbo,0.14889517968074228,knn,1.0,lucas_chumbo,0.572,0.7594,6.0,0.1874,True
1191,petrix,0.2599374852559566,knn,2.0,petrix,0.49513333333333326,0.8027,6.0,0.3075666666666667,True
1192,hadson,0.35043642368483124,knn,3.0,hadson,0.35606666666666675,0.7970999999999999,6.0,0.44103333333333317,True
1193,lucas,0.3383397551833503,knn,4.0,babu,0.5332666666666667,0.6262,6.0,0.09293333333333331,False
1194,bianca_andrade,0.17228906188566487,knn,5.0,felipe_prior,0.33766666666666667,0.5309,6.0,0.19323333333333337,False
1195,guilherme,0.13167413698199262,knn,6.0,guilherme,0.7009,0.5607,6.0,0.1402,True
1196,victor_hugo,0.2478571990249272,knn,7.0,victor_hugo,0.3733333333333334,0.8522,6.0,0.47886666666666655,True
1197,pyong,0.06465099211029848,knn,8.0,pyong,0.5776333333333332,0.517,6.0,0.060633333333333206,True
1198,daniel,0.2530733139367251,knn,9.0,daniel,0.48883333333333334,0.8081999999999999,6.0,0.3193666666666666,True
1199,felipe_prior,0.05600115331183984,knn,10.0,felipe_prior,0.5922333333333334,0.5672999999999999,6.0,0.024933333333333474,True
1200,gabi,0.12468873686141914,knn,11.0,gabi,0.4893666666666667,0.5961,6.0,0.10673333333333324,True
1201,marcela,0.18911693009357558,knn,12.0,flayslene,0.6153333333333334,0.4976,6.0,0.11773333333333341,False
1202,flayslene,0.20622002044507357,knn,13.0,flayslene,0.3333333333333333,0.63,6.0,0.2966666666666667,True
1203,gizelly_bicalho,0.19210505622395216,knn,14.0,babu,0.5987666666666666,0.5478999999999999,6.0,0.050866666666666616,False
1204,ivy,0.17582763230321619,knn,15.0,ivy,0.48710000000000003,0.7417,6.0,0.2546,True
1205,mari,0.22838195591203378,knn,16.0,manu_gavassi,0.4070666666666667,0.5416,6.0,0.13453333333333328,False
1206,babu,0.17593247883410665,knn,17.0,babu,0.48996666666666666,0.5715,6.0,0.08153333333333335,True
1207,lucas_chumbo,0.2613977135029797,lasso,1.0,lucas_chumbo,0.3558916356156063,0.7594,6.0,0.40350836438439364,True
1208,petrix,0.32873788362069545,lasso,2.0,petrix,0.36386656853822674,0.8027,6.0,0.4388334314617732,True
1209,hadson,0.33789971898877175,lasso,3.0,hadson,0.31678727997641815,0.7970999999999999,6.0,0.4803127200235818,True
1210,lucas,0.2528160135629998,lasso,4.0,lucas,0.40211696720672424,0.6262,6.0,0.22408303279327574,True
1211,bianca_andrade,0.18319664741726097,lasso,5.0,felipe_prior,0.4142575095946558,0.5309,6.0,0.11664249040534425,False
1212,guilherme,0.19160533329897808,lasso,6.0,guilherme,0.41233583283196373,0.5607,6.0,0.14836416716803624,True
1213,victor_hugo,0.40803247193252146,lasso,7.0,babu,0.33166693590740204,0.8522,6.0,0.5205330640925979,False
1214,pyong,0.19407043223169476,lasso,8.0,pyong,0.41950682007785134,0.517,6.0,0.09749317992214868,True
1215,daniel,0.3300784156859811,lasso,9.0,daniel,0.3898648004384812,0.8081999999999999,6.0,0.4183351995615187,True
1216,felipe_prior,0.24149009284079784,lasso,10.0,felipe_prior,0.8541671903839139,0.5672999999999999,6.0,0.28686719038391395,True
1217,gabi,0.21494566510957294,lasso,11.0,thelma,0.3505858564021372,0.5961,6.0,0.24551414359786278,False
1218,marcela,0.23682880336879045,lasso,12.0,marcela,0.3609571128498624,0.4976,6.0,0.13664288715013756,True
1219,flayslene,0.2580478030243862,lasso,13.0,flayslene,0.38315601269941946,0.63,6.0,0.24684398730058055,True
1220,gizelly_bicalho,0.17404609118954775,lasso,14.0,babu,0.43113569697658277,0.5478999999999999,6.0,0.11676430302341717,False
1221,ivy,0.3289405699079612,lasso,15.0,rafa,0.41512386136623797,0.7417,6.0,0.32657613863376206,False
1222,mari,0.23745341235909834,lasso,16.0,babu,0.36261032940356314,0.5416,6.0,0.17898967059643683,False
1223,babu,0.18017432086563204,lasso,17.0,babu,0.38121541067611825,0.5715,6.0,0.19028458932388176,True
1224,lucas_chumbo,0.10238874135244488,ridge,1.0,lucas_chumbo,0.5896036596264062,0.7594,6.0,0.1697963403735938,True
1225,petrix,0.21144392739689188,ridge,2.0,petrix,0.4002859571238101,0.8027,6.0,0.40241404287618987,True
1226,hadson,0.28075524795813533,ridge,3.0,hadson,0.45261913504815987,0.7970999999999999,6.0,0.34448086495184005,True
1227,lucas,0.23102215232362924,ridge,4.0,lucas,0.5091189978233677,0.6262,6.0,0.11708100217663231,True
